event_id,user_id,event_date,event_type,platform
1,1,2024-08-30,login,desktop
2,1,2023-09-19,share,desktop
3,1,2024-04-15,feature_use,desktop
4,1,2024-09-20,project_create,desktop
5,1,2024-08-12,project_create,desktop
6,1,2023-10-13,feature_use,desktop
7,1,2023-05-27,login,desktop
8,1,2024-07-24,login,desktop
9,1,2024-01-14,login,desktop
10,1,2024-08-07,share,tablet
11,1,2024-10-11,project_create,tablet
12,1,2023-10-22,share,mobile
13,1,2023-12-15,file_upload,desktop
14,1,2023-10-03,project_create,mobile
15,1,2024-05-27,project_create,mobile
16,1,2023-12-08,share,tablet
17,1,2023-09-08,feature_use,mobile
18,1,2023-11-30,project_create,mobile
19,1,2023-07-18,login,desktop
20,1,2023-05-29,file_upload,tablet
21,2,2024-04-14,feature_use,mobile
22,2,2024-07-17,login,desktop
23,2,2024-08-07,file_upload,desktop
24,2,2024-12-10,share,mobile
25,2,2024-04-10,feature_use,mobile
26,2,2023-09-05,file_upload,tablet
27,2,2024-12-15,feature_use,tablet
28,2,2023-08-31,project_create,desktop
29,2,2024-09-09,project_create,tablet
30,2,2025-02-03,feature_use,desktop
31,2,2025-01-24,project_create,tablet
32,2,2023-09-21,project_create,mobile
33,2,2024-12-23,share,mobile
34,2,2024-03-27,share,tablet
35,2,2024-02-29,share,mobile
36,2,2024-10-18,project_create,desktop
37,2,2024-07-16,share,tablet
38,2,2023-10-16,login,desktop
39,2,2023-11-06,login,mobile
40,2,2025-02-01,project_create,desktop
41,3,2023-03-02,feature_use,tablet
42,3,2023-11-11,file_upload,desktop
43,3,2024-03-05,share,mobile
44,3,2023-02-07,project_create,desktop
45,3,2023-06-26,share,tablet
46,3,2023-10-16,share,tablet
47,3,2023-02-10,login,tablet
48,3,2024-02-09,project_create,mobile
49,3,2023-03-31,share,mobile
50,3,2023-04-24,feature_use,tablet
51,3,2023-10-01,project_create,mobile
52,3,2024-07-09,feature_use,mobile
53,3,2024-04-23,share,tablet
54,3,2023-06-09,feature_use,desktop
55,3,2024-06-07,share,mobile
56,3,2024-02-19,login,tablet
57,3,2023-08-16,file_upload,mobile
58,3,2023-03-09,file_upload,mobile
59,3,2024-03-16,project_create,desktop
60,3,2023-03-16,login,tablet
61,4,2023-08-04,share,desktop
62,4,2023-09-21,login,desktop
63,4,2023-09-05,project_create,desktop
64,4,2023-10-01,file_upload,tablet
65,4,2024-12-04,share,tablet
66,4,2023-12-04,login,desktop
67,4,2024-04-26,share,desktop
68,4,2023-11-13,project_create,desktop
69,4,2024-04-15,feature_use,tablet
70,4,2024-07-05,file_upload,mobile
