payment_id,subscription_id,payment_date,amount,payment_status
1,1,2024-04-11,25.00,success
2,1,2024-03-11,25.00,success
3,1,2024-02-11,25.00,success
4,1,2024-01-11,25.00,success
5,1,2023-12-11,25.00,failed
6,1,2023-11-11,25.00,success
7,1,2023-10-11,25.00,success
8,1,2023-09-11,25.00,success
9,2,2024-05-22,10.00,success
10,2,2024-04-22,10.00,success
11,2,2024-03-22,10.00,success
12,2,2024-02-22,10.00,failed
13,2,2024-01-22,10.00,success
14,2,2023-12-22,10.00,success
15,2,2023-11-22,10.00,success
16,2,2023-10-22,10.00,success
17,3,2023-11-24,10.00,success
18,3,2023-10-24,10.00,success
19,3,2023-09-24,10.00,success
20,3,2023-08-24,10.00,success
21,3,2023-07-24,10.00,success
22,3,2023-06-24,10.00,success
23,3,2023-05-24,10.00,success
24,3,2023-04-24,10.00,success
25,3,2023-03-24,10.00,success
26,3,2023-02-24,10.00,success
27,4,2023-12-19,25.00,success
28,4,2023-11-19,25.00,success
29,4,2023-10-19,25.00,success
30,4,2023-09-19,25.00,success
31,4,2023-08-19,25.00,success
32,4,2023-07-19,25.00,success
33,4,2023-06-19,25.00,success
34,4,2023-05-19,25.00,success
35,4,2023-04-19,25.00,success
36,4,2023-03-19,25.00,success
37,4,2023-02-19,25.00,success
38,5,2023-04-05,10.00,success
39,5,2023-03-05,10.00,success
40,6,2024-02-22,25.00,success
41,6,2024-01-22,25.00,success
42,6,2023-12-22,25.00,success
43,6,2023-11-22,25.00,success
44,6,2023-10-22,25.00,success
45,6,2023-09-22,25.00,success
46,6,2023-08-22,25.00,success
47,7,2024-01-20,10.00,success
48,7,2023-12-20,10.00,success
49,7,2023-11-20,10.00,success
50,7,2023-10-20,10.00,success
51,7,2023-09-20,10.00,failed
52,7,2023-08-20,10.00,success
53,7,2023-07-20,10.00,success
54,7,2023-06-20,10.00,success
55,7,2023-05-20,10.00,success
56,7,2023-04-20,10.00,success
57,7,2023-03-20,10.00,success
58,7,2023-02-20,10.00,success
59,8,2025-03-07,60.00,success
60,8,2025-02-07,60.00,success
61,8,2025-01-07,60.00,success
62,8,2024-12-07,60.00,success
63,8,2024-11-07,60.00,success
64,8,2024-10-07,60.00,failed
65,8,2024-09-07,60.00,success
66,8,2024-08-07,60.00,success
67,8,2024-07-07,60.00,failed
68,8,2024-06-07,60.00,success
69,8,2024-05-07,60.00,success
70,8,2024-04-07,60.00,success
71,9,2024-05-10,10.00,success
72,9,2024-04-10,10.00,success
73,9,2024-03-10,10.00,success
74,9,2024-02-10,10.00,success
75,9,2024-01-10,10.00,success
