subscription_id,user_id,plan_type,start_date,end_date,status
1,2,Pro,2023-09-11,2024-04-11,active
2,10,Basic,2023-10-22,2024-05-22,cancelled
3,11,Basic,2023-02-24,2023-11-24,cancelled
4,14,Pro,2023-02-19,2023-12-19,active
5,15,Basic,2023-03-05,2023-04-05,cancelled
6,17,Pro,2023-08-22,2024-02-22,cancelled
7,24,Basic,2023-02-20,2024-01-20,cancelled
8,26,Enterprise,2024-04-07,2025-03-07,cancelled
9,28,Basic,2023-12-10,2024-05-10,active
10,31,Pro,2023-09-15,2024-08-15,active
11,33,Basic,2024-07-03,2025-04-03,cancelled
12,39,Pro,2023-07-29,2024-07-29,active
13,40,Basic,2023-10-27,2024-02-27,cancelled
14,42,Basic,2024-02-18,2024-12-18,cancelled
15,47,Pro,2023-07-23,2024-07-23,cancelled
16,48,Basic,2024-05-31,2025-01-31,active
17,51,Pro,2023-05-08,2023-09-08,active
18,53,Pro,2023-02-28,2023-06-28,active
19,55,Basic,2023-08-05,2023-09-05,cancelled
20,57,Basic,2024-01-18,2024-08-18,cancelled
21,61,Basic,2023-09-16,2023-10-16,active
22,62,Basic,2024-04-24,2024-07-24,active
23,63,Basic,2024-07-08,2024-11-08,cancelled
24,65,Basic,2023-05-07,2024-02-07,active
25,67,Basic,2023-10-17,2024-08-17,active
26,68,Pro,2024-07-01,2024-12-01,cancelled
27,71,Basic,2023-11-03,2024-06-03,cancelled
28,73,Basic,2023-05-02,2024-01-02,cancelled
29,76,Pro,2023-07-05,2024-06-05,cancelled
30,78,Pro,2023-08-14,2024-08-14,active
31,79,Basic,2023-11-19,2024-06-19,active
32,80,Pro,2023-11-02,2023-12-02,active
33,82,Basic,2023-12-10,2024-10-10,cancelled
34,85,Basic,2023-02-03,2024-02-03,active
35,87,Basic,2024-06-14,2024-11-14,cancelled
36,95,Pro,2024-03-29,2024-07-29,cancelled
37,98,Basic,2023-11-21,2024-10-21,active
38,105,Basic,2023-12-12,2024-09-12,active
39,117,Basic,2024-02-11,2024-06-11,active
40,118,Basic,2024-04-03,2024-12-03,cancelled
41,120,Basic,2023-02-05,2023-03-05,cancelled
42,123,Basic,2023-09-16,2024-02-16,cancelled
43,125,Basic,2023-06-30,2023-12-30,active
44,127,Pro,2024-06-03,2025-06-03,active
45,128,Pro,2024-05-14,2025-03-14,cancelled
46,129,Basic,2024-02-14,2024-09-14,cancelled
47,134,Basic,2023-09-12,2024-05-12,cancelled
48,141,Basic,2024-01-24,2024-09-24,cancelled
49,153,Basic,2023-11-22,2024-02-22,cancelled
50,156,Pro,2023-02-14,2024-02-14,cancelled
51,157,Basic,2023-04-05,2024-02-05,active
52,159,Basic,2023-04-22,2023-05-22,cancelled
53,165,Basic,2024-06-06,2025-04-06,cancelled
54,166,Basic,2024-07-03,2024-11-03,cancelled
55,168,Basic,2024-02-29,2025-02-28,active
56,169,Basic,2023-02-17,2023-08-17,cancelled
57,178,Basic,2023-09-26,2024-03-26,cancelled
58,184,Basic,2024-02-13,2024-08-13,active
59,185,Pro,2023-08-29,2024-06-29,cancelled
60,188,Basic,2024-06-26,2024-08-26,cancelled
61,190,Basic,2023-11-22,2024-10-22,cancelled
62,198,Basic,2023-11-25,2024-07-25,cancelled
63,199,Pro,2024-06-25,2024-12-25,active
64,207,Basic,2024-05-26,2024-09-26,active
65,208,Basic,2023-08-15,2024-01-15,cancelled
66,215,Basic,2023-08-22,2023-10-22,cancelled
67,221,Basic,2023-12-07,2024-11-07,active
68,227,Pro,2023-04-20,2023-06-20,active
69,233,Basic,2023-06-09,2024-03-09,active
70,243,Basic,2023-05-23,2024-04-23,cancelled
71,245,Pro,2024-01-16,2025-01-16,active
72,248,Basic,2023-03-17,2023-12-17,active
73,249,Pro,2024-05-02,2024-07-02,cancelled
74,260,Basic,2023-09-16,2024-06-16,active
75,261,Basic,2023-08-22,2024-03-22,cancelled
76,268,Basic,2023-06-16,2024-01-16,cancelled
77,273,Basic,2023-05-22,2024-05-22,cancelled
78,281,Basic,2024-06-22,2024-12-22,cancelled
79,282,Basic,2023-07-18,2023-11-18,cancelled
80,286,Basic,2024-02-22,2025-01-22,cancelled
81,287,Pro,2023-05-12,2023-12-12,active
82,294,Basic,2024-05-15,2025-02-15,cancelled
83,299,Basic,2023-10-17,2024-08-17,active
84,308,Basic,2023-11-02,2024-05-02,cancelled
85,310,Basic,2023-06-12,2023-08-12,cancelled
86,320,Basic,2023-09-28,2024-04-28,cancelled
87,321,Pro,2024-05-29,2024-07-29,cancelled
88,323,Pro,2023-05-28,2024-04-28,cancelled
89,324,Basic,2023-10-02,2024-03-02,active
90,326,Basic,2023-06-04,2023-09-04,active
91,334,Pro,2023-11-04,2024-10-04,active
92,335,Basic,2024-01-31,2024-04-30,active
93,342,Basic,2023-05-21,2024-01-21,cancelled
94,344,Basic,2024-04-15,2025-04-15,active
95,347,Pro,2024-05-25,2024-09-25,active
96,366,Basic,2024-01-10,2025-01-10,active
97,370,Pro,2023-05-09,2024-02-09,cancelled
98,378,Basic,2023-08-24,2024-07-24,active
99,381,Basic,2023-11-04,2024-04-04,active
100,382,Basic,2023-12-20,2024-09-20,cancelled
101,383,Basic,2023-03-24,2023-08-24,active
102,384,Basic,2023-02-15,2023-12-15,cancelled
103,394,Pro,2023-02-26,2023-05-26,active
104,395,Basic,2024-02-01,2024-03-01,active
105,399,Basic,2023-09-28,2024-05-28,cancelled
106,406,Basic,2023-09-08,2024-05-08,cancelled
107,407,Basic,2024-06-22,2024-12-22,cancelled
108,408,Basic,2023-04-05,2024-01-05,cancelled
109,412,Basic,2023-10-22,2024-06-22,cancelled
110,415,Basic,2024-01-20,2024-09-20,active
111,417,Basic,2024-06-21,2024-12-21,active
112,431,Basic,2023-10-31,2024-09-30,cancelled
113,433,Basic,2023-07-20,2023-08-20,cancelled
114,441,Pro,2024-03-16,2024-09-16,cancelled
115,447,Pro,2023-05-14,2023-07-14,cancelled
116,448,Basic,2023-09-06,2024-07-06,cancelled
117,451,Pro,2024-03-16,2024-08-16,cancelled
118,457,Basic,2024-05-05,2024-08-05,active
119,466,Basic,2024-07-07,2025-04-07,cancelled
120,467,Basic,2024-03-28,2024-09-28,active
121,470,Basic,2023-04-14,2024-01-14,active
122,473,Basic,2023-09-24,2024-02-24,cancelled
123,474,Basic,2023-02-01,2023-12-01,active
124,484,Basic,2023-08-14,2024-01-14,active
125,488,Basic,2024-02-12,2024-05-12,cancelled
126,489,Basic,2023-12-31,2024-06-30,cancelled
127,508,Basic,2023-02-14,2023-10-14,active
128,512,Basic,2023-08-15,2024-07-15,cancelled
129,517,Basic,2023-07-18,2023-09-18,cancelled
