user_id,signup_date,country,acquisition_channel,device_type
1,2023-04-30,Australia,Organic,Mobile
2,2023-08-28,Canada,"Google Ads",Tablet
3,2023-01-30,UK,"LinkedIn Ads",Tablet
4,2023-06-15,USA,"LinkedIn Ads",Desktop
5,2023-01-11,India,"Facebook Ads",Tablet
6,2023-07-25,USA,Referral,Desktop
7,2023-04-04,USA,"Facebook Ads",Mobile
8,2023-03-13,Canada,Organic,Tablet
9,2023-11-18,USA,"Google Ads",Desktop
10,2023-10-17,UK,"Facebook Ads",Tablet
11,2023-02-05,Australia,Referral,Tablet
12,2024-06-23,Canada,"Facebook Ads",Mobile
13,2023-04-19,UK,Referral,Desktop
14,2023-02-07,Canada,"LinkedIn Ads",Desktop
15,2023-03-03,Australia,Organic,Desktop
16,2024-03-02,Australia,"LinkedIn Ads",Mobile
17,2023-08-03,Germany,"Google Ads",Desktop
18,2023-09-19,USA,"Facebook Ads",Tablet
19,2024-01-10,Germany,"Google Ads",Desktop
20,2024-01-01,India,Referral,Mobile
21,2024-05-16,UK,"LinkedIn Ads",Desktop
22,2023-07-06,Australia,"LinkedIn Ads",Mobile
23,2023-05-21,India,Referral,Tablet
24,2023-02-05,USA,Organic,Mobile
25,2024-04-16,UK,"Facebook Ads",Desktop
26,2024-04-03,Canada,"Google Ads",Desktop
27,2024-02-26,Canada,Referral,Tablet
28,2023-11-26,India,"Facebook Ads",Mobile
29,2023-03-03,USA,"Google Ads",Desktop
30,2024-05-27,Canada,Referral,Desktop
31,2023-08-23,Germany,"Facebook Ads",Desktop
32,2023-06-10,USA,"LinkedIn Ads",Mobile
33,2024-06-26,Canada,"Facebook Ads",Desktop
34,2023-05-21,India,"Facebook Ads",Mobile
35,2023-07-26,India,"LinkedIn Ads",Tablet
36,2023-03-20,USA,"Google Ads",Desktop
37,2023-04-17,India,Referral,Desktop
38,2023-02-18,Germany,"Facebook Ads",Tablet
39,2023-07-08,UK,"LinkedIn Ads",Mobile
40,2023-10-14,Australia,"Facebook Ads",Desktop
41,2024-05-26,Canada,Referral,Tablet
42,2024-01-23,Canada,"Facebook Ads",Desktop
43,2023-08-20,Canada,"Google Ads",Mobile
44,2024-05-02,Canada,Organic,Desktop
45,2023-03-21,UK,"LinkedIn Ads",Tablet
46,2023-02-04,Canada,"Google Ads",Tablet
47,2023-06-24,Canada,Referral,Tablet
48,2024-05-09,UK,Referral,Tablet
49,2023-09-13,USA,"Facebook Ads",Tablet
50,2023-06-09,USA,"Facebook Ads",Mobile
51,2023-04-13,Australia,"Google Ads",Tablet
52,2023-05-26,Germany,"LinkedIn Ads",Tablet
53,2023-02-08,USA,"LinkedIn Ads",Mobile
54,2023-12-06,Canada,"Google Ads",Mobile
55,2023-08-04,Canada,Referral,Tablet
56,2023-05-27,Canada,"Facebook Ads",Desktop
57,2024-01-10,USA,"Facebook Ads",Desktop
58,2023-12-13,Australia,"Facebook Ads",Tablet
59,2024-06-18,Germany,"Facebook Ads",Tablet
60,2023-04-26,India,"Google Ads",Mobile
61,2023-08-23,India,"Facebook Ads",Tablet
62,2024-04-19,Germany,Referral,Mobile
63,2024-06-13,India,"Facebook Ads",Desktop
64,2024-01-04,UK,"LinkedIn Ads",Desktop
65,2023-05-04,USA,"Facebook Ads",Desktop
66,2023-03-18,Germany,Organic,Desktop
67,2023-10-13,Germany,Organic,Mobile
68,2024-06-29,India,"Facebook Ads",Tablet
69,2023-01-24,India,"Facebook Ads",Mobile
70,2023-12-31,India,"Google Ads",Tablet
71,2023-10-06,UK,Referral,Tablet
72,2023-09-20,USA,"Facebook Ads",Mobile
73,2023-04-25,UK,"LinkedIn Ads",Tablet
74,2023-07-10,UK,"LinkedIn Ads",Desktop
75,2023-03-12,India,"Facebook Ads",Tablet
76,2023-06-23,Canada,"Google Ads",Tablet
77,2024-03-26,India,Referral,Desktop
78,2023-08-05,USA,"Facebook Ads",Mobile
79,2023-11-06,Canada,Organic,Desktop
80,2023-10-25,Germany,Organic,Mobile
81,2023-09-01,Australia,Organic,Desktop
82,2023-12-04,Germany,Referral,Tablet
83,2023-02-28,India,"Google Ads",Desktop
84,2024-03-08,Australia,"LinkedIn Ads",Mobile
85,2023-01-30,Canada,Referral,Tablet
86,2023-09-09,Canada,Organic,Mobile
87,2024-05-18,Canada,"Facebook Ads",Desktop
88,2023-10-03,Germany,Referral,Tablet
89,2024-05-31,Canada,"Facebook Ads",Tablet
90,2024-04-25,USA,"LinkedIn Ads",Desktop
91,2024-01-20,India,"Google Ads",Desktop
92,2023-08-06,Germany,Organic,Desktop
93,2024-03-01,USA,"Facebook Ads",Tablet
94,2023-12-17,UK,"LinkedIn Ads",Desktop
95,2024-03-07,India,"Facebook Ads",Mobile
96,2024-06-29,Germany,"LinkedIn Ads",Mobile
97,2023-08-25,Canada,Organic,Tablet
98,2023-11-17,Germany,"Facebook Ads",Mobile
